Country	Rank	Name	Artists	Cover	Link
Belarus	1	Молитвы. Анекдоты. Тосты.	Monetochka	https://i.scdn.co/image/ab67616d0000b27370ebd1b40be2fa37d043ee14	https://open.spotify.com/album/1eE8tgJvckpa4qYLp2L9ox
Belarus	2	2007, Ч.1	uniqe, nkeeei, ARTEM SHILOVETS	https://i.scdn.co/image/ab67616d0000b273cac63ee2007d2c7298f8cc62	https://open.spotify.com/album/3X6mGWf1bB8pwtcHDdRvNo
Belarus	3	Cristoforo Colombo	FRIENDLY THUG 52 NGG	https://i.scdn.co/image/ab67616d0000b273cccf10276da7b793666563dc	https://open.spotify.com/album/4PmKko0sUQl7I1cyeBD5Zg
Belarus	4	Сборник хуйни и картинки	Кишлак	https://i.scdn.co/image/ab67616d0000b2739e2991da8ecc7747a3a52e14	https://open.spotify.com/album/6bNQ6UFOF8C70iz7IajffH
Belarus	5	Жить в кайф	Max Korzh	https://i.scdn.co/image/ab67616d0000b273fb71e259699f07484c4eed1a	https://open.spotify.com/album/4ktDOYU0Jual1ELFTPhFd6
Belgium	1	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Belgium	2	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Belgium	3	Fireworks & Rollerblades	Benson Boone	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
Belgium	4	Chaque seconde	Pierre Garnier	https://i.scdn.co/image/ab67616d0000b273309ead68a56fdbc235575eb0	https://open.spotify.com/album/0c57PH26xtTFt4LPN7ZLWm
Belgium	5	Radical Optimism	Dua Lipa	https://i.scdn.co/image/ab67616d0000b273361debc2873b3aa493304b6d	https://open.spotify.com/album/1Mo92916G2mmG7ajpmSVrc
Germany	1	2000	Pashanim	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/album/2uKD5g5T7oklsMHJDcPgLB
Germany	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Germany	3	Freitag der 13.	Gzuz	https://i.scdn.co/image/ab67616d0000b273bd321e059cbc6b8e93a9dfd4	https://open.spotify.com/album/785egwvGJnKIlRoLZjHjoH
Germany	4	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Germany	5	HARDSTONE PSYCHO	Don Toliver	https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5	https://open.spotify.com/album/0Kzb3u6kMnOJOZXYFSk33F
Denmark	1	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Denmark	2	BABA BUSINESS 3	Branco	https://i.scdn.co/image/ab67616d0000b2733b91a05ddc57117503caa323	https://open.spotify.com/album/16y1M4Dnrqiodnk8KvRhLf
Denmark	3	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
Denmark	4	Noahs Ark	Noah Carter	https://i.scdn.co/image/ab67616d0000b273685754bf042ec107630a260a	https://open.spotify.com/album/4oExjnLMuvThxFs2UR80R8
Denmark	5	MELLEM HIMMEL & JORD	Gobs	https://i.scdn.co/image/ab67616d0000b2734c226a3828a04f6cc38060d7	https://open.spotify.com/album/54jF8lWprugcSN7mSsKuVX
Finland	1	Pisara meressä	KUUMAA	https://i.scdn.co/image/ab67616d0000b273691167cb7802f76195863c77	https://open.spotify.com/album/3fTUkVNp5a3EgCh9Q4NpXA
Finland	2	HIT ME HARD AND SOFT	Billie Eilish	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
Finland	3	Hyvikset ja pahikset	KUUMAA	https://i.scdn.co/image/ab67616d0000b2736546ea21d91dfb63b7219507	https://open.spotify.com/album/24CZMvczsQC6vHMB05weD0
Finland	4	RÄPPÄRI	ibe	https://i.scdn.co/image/ab67616d0000b2735523ed10c398d2fabb0be704	https://open.spotify.com/album/4VjT5dIyokFmgNIaJ4A7fq
Finland	5	THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY	Taylor Swift, Post Malone	https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa	https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
