Country	Rank	Song	Artists	Album	Cover	Link
Austria	1	Houdini	Eminem	Houdini	https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a	https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
Austria	2	ZEIT, DASS SICH WAS DREHT	$OHO BANI, Herbert Grönemeyer, Ericson	ZEIT, DASS SICH WAS DREHT	https://i.scdn.co/image/ab67616d0000b273822a12155c7808871858d7e0	https://open.spotify.com/track/1NifMX1JqCz9caJowG8dxq
Austria	3	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Austria	4	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Austria	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Austria	6	Too Sweet	Hozier	Unreal Unearth: Unheard	https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241	https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C
Austria	7	Mittelmeer	Pashanim	2000	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/track/6leQi7NakJQS1vHRtZsroe
Austria	8	Panama	GReeeN	Glückskind	https://i.scdn.co/image/ab67616d0000b273ef496a180518f3ace76dd9ef	https://open.spotify.com/track/3qcreqi8RaGqahtJSQDxNI
Austria	9	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Austria	10	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
Hungary	1	SZÍVTIPRÓ	T. Danny	SZÍVTIPRÓ	https://i.scdn.co/image/ab67616d0000b27306af53d532b59243af17dd17	https://open.spotify.com/track/5LsAiClz23EjfEvQpyzuUi
Hungary	2	Strawberry	DESH	Strawberry	https://i.scdn.co/image/ab67616d0000b273571bb6ad882465a13f831971	https://open.spotify.com/track/6DmpM21b070AdtXm7Lc370
Hungary	3	Rampapapam	DESH, Young Fly, Azahriah, Lord Panamo	CARPE DIEM	https://i.scdn.co/image/ab67616d0000b2737ac1501b2c36c9b4e785f336	https://open.spotify.com/track/1E2flGJxXQNeBLRqQXiAsK
Hungary	4	introvertált dal	Azahriah	memento	https://i.scdn.co/image/ab67616d0000b273b9f856c934243d5bb06f0deb	https://open.spotify.com/track/2EAvOY1uymm5ZAd0ZbnnPW
Hungary	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Hungary	6	Voodoo Baba	Manuel, Moriones	Torz	https://i.scdn.co/image/ab67616d0000b2734c5b1c2a1c62e0e3f7b6e0c7	https://open.spotify.com/track/1tTOuvmJvZ2DACbTLkwZIT
Hungary	7	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Hungary	8	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Hungary	9	Úgy Hiszem	Pogány Induló	Vagy Mindent Vagy Semmit	https://i.scdn.co/image/ab67616d0000b2733b668d686dd3adbf0970e377	https://open.spotify.com/track/2zIijzos3rNY6DkvX2ZYDX
Hungary	10	Mind1	Azahriah, DESH	A ló túloldalán	https://i.scdn.co/image/ab67616d0000b2737df2b22056522c8afc43e631	https://open.spotify.com/track/7lemjnVRAqQtqqLdSqCKqM
Ukraine	1	Барабан	Artem Pivovarov, Klavdia Petrivna	THE BEST	https://i.scdn.co/image/ab67616d0000b27378aed5a849ad080b2d8f0908	https://open.spotify.com/track/2WeoEwj67HCAR2QULKnql6
Ukraine	2	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Ukraine	3	А я все плакала	DOROFEEVA, LEBIGA	А я все плакала	https://i.scdn.co/image/ab67616d0000b273b8fc053f9b02cedfe27bfdc4	https://open.spotify.com/track/6gYFTv081r8gQaC19iiszf
Ukraine	4	А що?	MONATIK	А що?	https://i.scdn.co/image/ab67616d0000b2737d22bd02be76da51ed835c52	https://open.spotify.com/track/12TC6zACzfx6ey8ZAP6R3y
Ukraine	5	Хартбіт	DOROFEEVA	Хартбіт	https://i.scdn.co/image/ab67616d0000b273966ff2362799dc0a70f305e3	https://open.spotify.com/track/198PqHQboOXnYfwD1cr9Sa
Ukraine	6	Я тобі брехала	Klavdia Petrivna	Я тобі брехала	https://i.scdn.co/image/ab67616d0000b273be3762a4de0a80b34c201cf5	https://open.spotify.com/track/1G5M0Aox7zAnvFjPqSo3fY
Ukraine	7	Селфхарм	Monetochka	Молитвы. Анекдоты. Тосты.	https://i.scdn.co/image/ab67616d0000b27370ebd1b40be2fa37d043ee14	https://open.spotify.com/track/46tUEN0dIhVxYbOgxCvkF4
Ukraine	8	Забий	Wellboy, Parfeniuk	Забий	https://i.scdn.co/image/ab67616d0000b27326f0c2b754381093f7617ab2	https://open.spotify.com/track/23cpg22rXsND2u3ElYxQdj
Ukraine	9	Teresa & Maria	alyona alyona, Jerry Heil	Teresa & Maria	https://i.scdn.co/image/ab67616d0000b27371f99b38ac1c81d04abc4203	https://open.spotify.com/track/7n3Czk07KugPQOWuqCHDmF
Ukraine	10	MILLION DOLLAR BABY	Tommy Richman	MILLION DOLLAR BABY	https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f	https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A
Czech Republic	1	Letná	Rohony, Manene	Letná	https://i.scdn.co/image/ab67616d0000b273159428652ec410def2440397	https://open.spotify.com/track/7JLiGPvaKNNrYJHfzfANe5
Czech Republic	2	Narcos	Hard Rico, Yzomandias	Narcos	https://i.scdn.co/image/ab67616d0000b273f69eef414e6840950acda925	https://open.spotify.com/track/1OWQtElgSSmAcIT6fZLJ6R
Czech Republic	3	Suave	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/5E1tL0zofGATKf1cthCxwf
Czech Republic	4	Window Shopper	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/2x39J1ztiWV60Q7WeSHIpW
Czech Republic	5	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Czech Republic	6	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
Czech Republic	7	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Czech Republic	8	Baila	KOJO	Baila	https://i.scdn.co/image/ab67616d0000b2735ee4c42157d95d1e244f023a	https://open.spotify.com/track/4USCgD3COcDf6KX1LNX3ga
Czech Republic	9	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Czech Republic	10	Síla Starejch Vín	ŠKWOR	Sliby & Lži	https://i.scdn.co/image/ab67616d0000b273e4fb100068f72b0e7244aabd	https://open.spotify.com/track/6qgMr9LacgnihY9IdYriMP
Spain	1	REAL GANGSTA LOVE	Trueno	EL ÚLTIMO BAILE	https://i.scdn.co/image/ab67616d0000b27368a450f7bcdc187e20f0ba0a	https://open.spotify.com/track/1pymWRCuZfCd0zdiBJo0Hj
Spain	2	BADGYAL	SAIKO, JC Reyes, Dei V	SAKURA	https://i.scdn.co/image/ab67616d0000b273e346fc6f767ca2ac8365fe60	https://open.spotify.com/track/3ng8tfwvzR4BBwa9yaMms6
Spain	3	Potra Salvaje - Hard Remix	Isabel Aaiún, Fernando Moreno	Potra Salvaje (Hard Remix)	https://i.scdn.co/image/ab67616d0000b27340b1d6f6201f92d7f4accc0c	https://open.spotify.com/track/4gdpQ6zuDsePnD1YIDJCRw
Spain	4	Santa	Rvssian, Rauw Alejandro, Ayra Starr	Santa	https://i.scdn.co/image/ab67616d0000b273edf307a421ee80c9262f8dc8	https://open.spotify.com/track/6a9Z1jUms915w4O7N1PxjY
Spain	5	Si Antes Te Hubiera Conocido	KAROL G	Si Antes Te Hubiera Conocido	https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e	https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k
Spain	6	LA REINA	Lola Indigo	LA REINA	https://i.scdn.co/image/ab67616d0000b273237f2c6530efb88428bb177e	https://open.spotify.com/track/06JM1fuKPQOrSL6s9mzDvV
Spain	7	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Spain	8	EL PANTALON - RUMBAS	Omar Montes, Lola Indigo, Las Chuches	LAGRIMAS DE UN MALEANTE	https://i.scdn.co/image/ab67616d0000b273b97f603621a230afd6e578df	https://open.spotify.com/track/7CsOowK8aWlxgjuZLW7pXA
Spain	9	FRIKI	Gonzy	FRIKI	https://i.scdn.co/image/ab67616d0000b273df9069eb8ce60b8f2059aee4	https://open.spotify.com/track/2TWX6XUqmPx44FDOmgtb0I
Spain	10	El Conjuntito	El Bobe, Omar Montes	El Conjuntito	https://i.scdn.co/image/ab67616d0000b273cd22e1599ed8847e9463dfc2	https://open.spotify.com/track/2bipvepI8ridFvIAImR5Xf
Slovakia	1	NENI STRE$S	Pil C, Luca Brassi10x, Separ	VOJNA	https://i.scdn.co/image/ab67616d0000b2734f535b05f2eb229ddf6b9c42	https://open.spotify.com/track/1P8o6bOTyh1kEqe72JFzzO
Slovakia	2	NESTARAM SA	Pil C, Luca Brassi10x	VOJNA	https://i.scdn.co/image/ab67616d0000b2734f535b05f2eb229ddf6b9c42	https://open.spotify.com/track/2sfL5PDP2uid2zbDYOLaPv
Slovakia	3	Bbejbb	Separ, Peter Pann	DOVIDENIA	https://i.scdn.co/image/ab67616d0000b27373d128529d8cc2081e959873	https://open.spotify.com/track/3BQqSkF8Raj9lEzJdscmmu
Slovakia	4	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
Slovakia	5	Suave	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/5E1tL0zofGATKf1cthCxwf
Slovakia	6	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Slovakia	7	Narcos	Hard Rico, Yzomandias	Narcos	https://i.scdn.co/image/ab67616d0000b273f69eef414e6840950acda925	https://open.spotify.com/track/1OWQtElgSSmAcIT6fZLJ6R
Slovakia	8	Netancuj	Luca Brassi10x, Shimmi, AstralKid22	Ghettoven	https://i.scdn.co/image/ab67616d0000b2733825a769067cd49d5b43ce40	https://open.spotify.com/track/6dsXarPGibMpzgH5OfvC5P
Slovakia	9	Peniaze	Luca Brassi10x, Crosso, Tisci	Ghettoven	https://i.scdn.co/image/ab67616d0000b2733825a769067cd49d5b43ce40	https://open.spotify.com/track/51wzXdbSUBQt0bcjBpLqXR
Slovakia	10	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
